Code;Name;Category;FullDescription
112;"Литр; Кубический дециметр";;"Л; ДМ³"
251;Лошадиная сила;;ЛС
283;Люкс;;ЛК
284;Люмен;;ЛМ
257;Мегабайт;;МБАЙТ
2571;Мегабайт в секунду;;МБАЙТ/С
2545;Мегабит в секунду;;МБИТ/С
215;Мегаватт тысяча киловатт;;"МЕГАВТ; ТЫС КВТ"
246;Мегаватт-час;;МЕГАВТ.Ч
228;Мегавольт-ампер (тысяча киловольт-ампер);;МЕГАВ.А
292;Мегагерц;;МЕГАГЦ
126;Мегалитр;;МЕГАЛ
009;Мегаметр;;МЕГАМ
298;Мегапаскаль;;МЕГАПА
698;Место;;МЕСТ
362;Месяц;;МЕС
006;Метр;;М
328;Метр в секунду;;М/С
231;Метр в час;;М/Ч
335;Метр на секунду в квадрате;;М/С2
162;Метрический карат (1 карат=200 мг=2х10_4 кг);;КАР
352;Микросекунда;;МКС
9062;Миллиард гектаров;;МЛРД ГА
249;Миллиард киловатт-часов;;МЛРД КВТ.Ч
115;Миллиард кубических метров;;МЛРД М3
386;Миллиард рублей;;МЛРД РУБ
800;Миллиард штук;;МЛРД ШТ
308;Миллибар;;МБАР
161;Миллиграмм;;МГ
304;Милликюри;;MKИ
003;Миллиметр;;ММ
337;Миллиметр водяного столба;;ММ ВОД СТ
338;Миллиметр ртутного столба;;ММ РТ СТ
241;Миллион ампер-часов;;МЛН А.Ч
9061;Миллион гектаров;;МЛН ГА
235;Миллион гигакалорий;;МЛН ГИГАКАЛ
9557;Миллион голов;;МЛН ГОЛ
557;Миллион голов в год;;МЛН ГОЛ/ГОД
120;Миллион декалитров;;МЛН ДКЛ
937;Миллион доз;;МЛН ДОЗ
9802;Миллион долларов;;МЛН ДОЛЛАР
901;Миллион домохозяйств;;МЛН ДОМХОЗ
644;Миллион единиц;;МЛН ЕД
544;Миллион единиц в год;;МЛН ЕД/ГОД
167;Миллион каратов метрических;;МЛН КАР
056;Миллион квадратных дециметров;;МЛН ДМ2
057;Миллион квадратных метров;;МЛН М2
089;Миллион квадратных метров в двухмиллиметровом исчислении;;МЛН
086;Миллион квадратных метров жилой площади;;МЛН М2 ЖИЛ ПЛ
083;Миллион квадратных метров общей площади;;МЛН М2. ОБЩ ПЛ
242;Миллион киловольт-ампер;;МЛН КВ.А
987;Миллион краско-оттисков;;МЛН КРАСК ОТТИСК
159;Миллион кубических метров;;МЛН МЗ
125;Миллион кубических метров переработки газа;;МЛН МЗ ПЕРЕРАБ ГАЗА
949;Миллион листов-оттисков;;МЛН ЛИСТ.ОТТИСК
